port_link,port_typ,port_name,dir,lon,lat
PT1,b,San Ysidro,l,-117.029479982918,32.5431679285531
PT2,b,Tecate,l,-74.87093299,32.5529357231081
PT3,b,Otay Mesa,l,-116.974715601976,32.5481273473517

